cluster	ensembl_gene_id	counts	genes_num	genes_names
cl_3210	ENSG00000073756 ENSG00000142208 ENSG00000173039	2	3	PTGS2
cl_3210	ENSG00000073756 ENSG00000142208 ENSG00000173039	2	3	AKT1
cl_3210	ENSG00000073756 ENSG00000142208 ENSG00000173039	2	3	RELA
cl_3211	ENSG00000073756 ENSG00000142208 ENSG00000213341	2	3	PTGS2
cl_3211	ENSG00000073756 ENSG00000142208 ENSG00000213341	2	3	AKT1
cl_3211	ENSG00000073756 ENSG00000142208 ENSG00000213341	2	3	CHUK
cl_3212	ENSG00000087088 ENSG00000141510 ENSG00000148773 ENSG00000171552 ENSG00000171791	2	5	BAX
cl_3212	ENSG00000087088 ENSG00000141510 ENSG00000148773 ENSG00000171552 ENSG00000171791	2	5	TP53
cl_3212	ENSG00000087088 ENSG00000141510 ENSG00000148773 ENSG00000171552 ENSG00000171791	2	5	MKI67
cl_3212	ENSG00000087088 ENSG00000141510 ENSG00000148773 ENSG00000171552 ENSG00000171791	2	5	BCL2L1
cl_3212	ENSG00000087088 ENSG00000141510 ENSG00000148773 ENSG00000171552 ENSG00000171791	2	5	BCL2
cl_3213	ENSG00000087088 ENSG00000141510 ENSG00000148773	2	3	BAX
cl_3213	ENSG00000087088 ENSG00000141510 ENSG00000148773	2	3	TP53
cl_3213	ENSG00000087088 ENSG00000141510 ENSG00000148773	2	3	MKI67
cl_3214	ENSG00000121858 ENSG00000138798 ENSG00000142208 ENSG00000146648	2	4	TNFSF10
cl_3214	ENSG00000121858 ENSG00000138798 ENSG00000142208 ENSG00000146648	2	4	EGF
cl_3214	ENSG00000121858 ENSG00000138798 ENSG00000142208 ENSG00000146648	2	4	AKT1
cl_3214	ENSG00000121858 ENSG00000138798 ENSG00000142208 ENSG00000146648	2	4	EGFR
cl_3215	ENSG00000087088 ENSG00000141510 ENSG00000147889 ENSG00000171791	2	4	BAX
cl_3215	ENSG00000087088 ENSG00000141510 ENSG00000147889 ENSG00000171791	2	4	TP53
cl_3215	ENSG00000087088 ENSG00000141510 ENSG00000147889 ENSG00000171791	2	4	CDKN2A
cl_3215	ENSG00000087088 ENSG00000141510 ENSG00000147889 ENSG00000171791	2	4	BCL2
cl_3216	ENSG00000087088 ENSG00000141510 ENSG00000143799 ENSG00000171791 ENSG00000198793	2	5	BAX
cl_3216	ENSG00000087088 ENSG00000141510 ENSG00000143799 ENSG00000171791 ENSG00000198793	2	5	TP53
cl_3216	ENSG00000087088 ENSG00000141510 ENSG00000143799 ENSG00000171791 ENSG00000198793	2	5	PARP1
cl_3216	ENSG00000087088 ENSG00000141510 ENSG00000143799 ENSG00000171791 ENSG00000198793	2	5	BCL2
cl_3216	ENSG00000087088 ENSG00000141510 ENSG00000143799 ENSG00000171791 ENSG00000198793	2	5	MTOR
cl_3217	ENSG00000121858 ENSG00000125538 ENSG00000164761	2	3	TNFSF10
cl_3217	ENSG00000121858 ENSG00000125538 ENSG00000164761	2	3	IL1B
cl_3217	ENSG00000121858 ENSG00000125538 ENSG00000164761	2	3	TNFRSF11B
